it,avg,max
1,0.05226386212320049,0.20272391644898682
2,0.10538116204980448,0.20272391644898682
3,0.147135360833928,0.21936493362085172
4,0.17791348220177827,0.2300059259072372
5,0.17975900172731807,0.2300059259072372
6,0.2035813478655934,0.2300059259072372
7,0.21177252980363984,0.2300059259072372
8,0.21034183021741074,0.2300059259072372
9,0.20303701369296442,0.2300059259072372
10,0.21557399095357893,0.2300059259072372
11,0.21769882078018357,0.2300059259072372
12,0.20764093758346683,0.2300059259072372
13,0.21972716815078158,0.2300059259072372
14,0.1987117044717409,0.2300059259072372
15,0.20791499078268844,0.2300059259072372
16,0.20153247357093765,0.2300059259072372
17,0.20971243639375026,0.2300059259072372
18,0.2000087052805735,0.2453773304974277
19,0.2160757700654449,0.2453773304974277
20,0.20515229914949548,0.2453773304974277
21,0.22035843268087452,0.2453773304974277
