it,avg,max
1,0.03951431920233394,0.20001695514542261
2,0.0987695207667277,0.233125677136965
3,0.15047363368046968,0.233125677136965
4,0.17575673879045745,0.233125677136965
5,0.17305077774116231,0.233125677136965
6,0.17735708370239509,0.233125677136965
7,0.19713481382256845,0.24844335426397268
8,0.2074723552614641,0.24844335426397268
9,0.2140721332417652,0.24844335426397268
10,0.2162468372520361,0.24844335426397268
11,0.23261602519233904,0.24844335426397268
12,0.2300024538410366,0.24844335426397268
13,0.23370999294728337,0.24844335426397268
14,0.2232074618456215,0.24844335426397268
15,0.22194229317091715,0.24844335426397268
16,0.22608288257669848,0.24844335426397268
17,0.22562049247221946,0.24844335426397268
18,0.21868274991470552,0.24844335426397268
19,0.21878964133893525,0.24844335426397268
20,0.22716787006875203,0.24844335426397268
21,0.22322404362042683,0.24844335426397268
