it,avg,max
1,0.0367165810774567,0.22647439818062098
2,0.10209219328598079,0.22647439818062098
3,0.2019098238088901,0.2637391906423645
4,0.2008502831090111,0.2637391906423645
5,0.2155113596546997,0.2637391906423645
6,0.2295214895596353,0.2637391906423645
7,0.24566287268437131,0.2637391906423645
8,0.2508827889707675,0.2637391906423645
9,0.2544721425291087,0.2637391906423645
10,0.25584560120012884,0.2637391906423645
11,0.25473469717906433,0.2637391906423645
12,0.2501411205273986,0.2637391906423645
13,0.2474763013783486,0.2637391906423645
14,0.24892974958933653,0.2637391906423645
15,0.24389665499942434,0.2637391906423645
16,0.24806580895406322,0.2637391906423645
17,0.2545115825818201,0.2637391906423645
18,0.2532404474959932,0.2637391906423645
19,0.24985281625015232,0.2637391906423645
20,0.25105119911447327,0.2637391906423645
21,0.2548760743994743,0.2637391906423645
