it,avg,max
1,0.024871820521388824,0.166627106575073
2,0.058500012597217654,0.166627106575073
3,0.08665922809559493,0.166627106575073
4,0.1223852880760607,0.166627106575073
5,0.1261448232285807,0.166627106575073
6,0.14062380307577996,0.166627106575073
7,0.12423964930467468,0.166627106575073
8,0.1295608983191417,0.166627106575073
9,0.1333895257762946,0.166627106575073
10,0.13255568736280443,0.166627106575073
11,0.1406866283064917,0.166627106575073
12,0.13082024751063182,0.166627106575073
13,0.118790810077662,0.166627106575073
14,0.1320778112165269,0.166627106575073
15,0.142040308128269,0.166627106575073
16,0.14344671093469585,0.166627106575073
17,0.14610514733326002,0.166627106575073
18,0.1450573247651114,0.166627106575073
19,0.1428558377721448,0.166627106575073
20,0.14515131485412855,0.166627106575073
21,0.13194819976449565,0.166627106575073
