it,avg,max
1,0.07616846552382933,0.4047428112534289
2,0.1520242963828123,0.4320129705935808
3,0.21119384674884456,0.4320129705935808
4,0.2736261872680366,0.4320129705935808
5,0.3492960634429359,0.4320129705935808
6,0.3715361380486055,0.4320129705935808
7,0.3814221467815523,0.4320129705935808
8,0.375349570875189,0.4320129705935808
9,0.3898020436530686,0.4320129705935808
10,0.38481688970616823,0.4320129705935808
11,0.3954927955172546,0.4320129705935808
12,0.38176344241590343,0.4320129705935808
13,0.3762472404406803,0.4320129705935808
14,0.38370272902369185,0.4320129705935808
15,0.41332456330680983,0.4320129705935808
16,0.38974621089050365,0.4320129705935808
17,0.3886519437765048,0.4320129705935808
18,0.40036803180866887,0.4320129705935808
19,0.3792776397322808,0.4320129705935808
20,0.39528581601163565,0.4320129705935808
21,0.39589500304943526,0.4320129705935808
