it,avg,max
1,0.00915027994239079,0.038941435708942734
2,0.021129851137822172,0.04603124896039401
3,0.031058698136538433,0.04603124896039401
4,0.03127499214853941,0.04603124896039401
5,0.033984253597947406,0.04603124896039401
6,0.036285254339232326,0.04603124896039401
7,0.04042861877129968,0.04603124896039401
8,0.042978081234507706,0.04603124896039401
9,0.04179617754714062,0.04603124896039401
10,0.043424127491699854,0.04603124896039401
11,0.04111045853765635,0.04603124896039401
12,0.04135164018314931,0.04603124896039401
13,0.04226775504361654,0.04603124896039401
14,0.04152696348139763,0.0672326573782912
15,0.03958718405128087,0.0672326573782912
16,0.04357067615535988,0.0672326573782912
17,0.05012182832474405,0.0672326573782912
18,0.058755317276859384,0.0672326573782912
19,0.06038374104488201,0.0672326573782912
20,0.058436901864908346,0.0672326573782912
21,0.05423688050471379,0.0672326573782912
