"","x1","x2"
"1",-66.3833,7.6
"2",5036,1.01830405067466e-05
"3",5035,1.07354115968323e-05
"4",5034,1.13136192762135e-05
"5",5033,1.19202618794817e-05
"6",5032,1.25565705310877e-05
"7",5031,1.32238198072387e-05
"8",5030,1.39233287106726e-05
"9",5029,1.4446687311838e-05
"10",5028,1.49876228233863e-05
"11",5027,1.55466393213895e-05
"12",5026,1.61242519957551e-05
"13",5025,1.67209872713315e-05
"14",5024,1.63870751559109e-05
"15",5023,1.60591382096122e-05
"16",5022,1.5737084873721e-05
"17",5021,1.54208246697788e-05
"18",5020,1.51102681933783e-05
"19",5019,1.45059141378666e-05
"20",5018,1.39233287106726e-05
"21",5017,1.33618346860744e-05
"22",5016,1.28207713936571e-05
"23",5015,1.22994944975036e-05
"24",5014,1.19460365201985e-05
"25",5013,1.16017548728155e-05
"26",5012,1.12664424863519e-05
"27",5011,1.0939896025368e-05
"28",5010,1.06219158478658e-05
"29",5009,1.03560308111947e-05
"30",5008,1.00961740121484e-05
"31",4979,1.00961740121484e-05
"32",4978,1.08939504299308e-05
"33",4977,1.17481938853929e-05
"34",4976,1.26623396470106e-05
"35",4975,1.36399869504023e-05
"36",4974,1.45653586363418e-05
"37",4973,1.55466393213895e-05
"38",4972,1.65866994999889e-05
"39",4971,1.76885218767352e-05
"40",4970,1.88552034279567e-05
"41",4969,1.96965853529298e-05
"42",4968,2.05712160653584e-05
"43",4967,2.14801986022579e-05
"44",4966,2.24246628660376e-05
"45",4965,2.34057658471125e-05
"46",4964,2.39567781081322e-05
"47",4963,2.45192386448921e-05
"48",4962,2.50933455282901e-05
"49",4961,2.56792992770405e-05
"50",4960,2.62773028645759e-05
"51",4959,2.71973517557724e-05
"52",4958,2.81456793426335e-05
"53",4957,2.9123001901601e-05
"54",4956,3.01300482620003e-05
"55",4955,3.11675598273468e-05
"56",4954,3.15202970180079e-05
"57",4953,3.18765311410539e-05
"58",4952,3.22362905884559e-05
"59",4951,3.25996039076326e-05
