it,avg,max
1,0.06316140875841653,0.3805476581070915
2,0.1252127395157496,0.6019047763699377
3,0.15388471536193057,0.6019047763699377
4,0.13805704625640322,0.6019047763699377
5,0.16194728342138642,0.6019047763699377
6,0.16236951921865508,0.6019047763699377
7,0.18081470430745766,0.6019047763699377
8,0.18114535940831272,0.6019047763699377
9,0.18780109282233778,0.6019047763699377
10,0.17278823956205316,0.6019047763699377
11,0.21030017968852557,0.6019047763699377
12,0.21093645361880495,0.6019047763699377
13,0.1961056546709133,0.6019047763699377
14,0.21506009369441953,0.6019047763699377
15,0.19572347342966212,0.6019047763699377
16,0.2498276191209139,0.6019047763699377
17,0.18436010797393756,0.6768634960467989
18,0.18014823741379427,0.6768634960467989
19,0.19192266205405326,0.6768634960467989
20,0.21127943956173956,0.6768634960467989
21,0.22301154625620676,0.6768634960467989
