x,y,score
-45.10681179304036,-2.60812969211814,0
-56.43354881239538,-1.3918254858114585,0.8970790257441376
-48.33867091047949,-13.890911912277645,0
-57.90586269275937,-9.810335945993161,0
-53.21985920791508,-12.324390825677566,0
-63.87930757823692,-20.393583630062743,0
-52.028000046476635,-21.460748979579552,0
-64.83391579255743,-2.3674249153987037,0
-74.57908433440768,-10.487283938606339,0
-42.37138381863428,-22.753420854350637,0
-53.657219494336466,-29.58916998849734,0
-58.49071452815169,-33.394509916042665,0
-65.79624487717348,7.913342084486424,0.9163041102534722
-69.30883878282256,-1.5054533512035457,0
-59.31263394051038,-26.948738292293047,0
-57.24870365506269,5.08801549588326,0.7557616621620664
-51.1038822552745,-6.719461110544167,0
-37.962654894666976,-12.38788610465922,0
-42.52886051601135,-8.770259294667914,0
-57.5620632586082,-18.956583040153454,0
-75.1348503592628,-0.4526938510347235,0
-70.46510686933195,8.012608782132423,0
-63.18330417155042,-12.521386796091006,0
