x,y,bp
-68.63078602169314,11.474918293331564,4130
-68.54916916866763,11.469171608050749,4130
-68.46754734083491,11.463479757968573,4130
-68.71710127015322,11.379573199186687,4130
-68.63544556896825,11.373773690962249,4130
-68.55378483787962,11.36802900111444,4130
-68.47211912393787,11.362339126357716,4130
-68.3904484742109,11.35670406344063,4130
-68.7218097651909,11.278516270396436,4130
-68.64011014702986,11.272718756927778,4130
-68.55840549082647,11.266976041896644,4130
-68.47669584370671,11.261288122049255,4130
-68.39498125281403,11.255654994165726,4130
-68.72652334625398,11.177548631086356,4130
-68.64477976400737,11.171753091648394,4130
-68.56303113556211,11.166012330908087,4130
-68.48127750811989,11.160326345643423,4130
-68.39951892889977,11.154695132666081,4151
-68.31775544513812,11.149118688821204,4151
-68.23598710408841,11.143597010987378,4151
-62.09299557135876,10.8853720816576,4236
-62.01099739584523,10.88400592773249,4236
-61.928998039962956,10.882694394652345,4236
-68.64945442804775,11.070876297714966,4130
-68.56766178015792,11.065137470829324,4130
-68.48586412517308,11.059453399909719,4151
-68.4040615103881,11.053824081798997,4151
-68.3222539831153,11.048249513373579,4151
-68.24044159068401,11.042729691542663,4151
-68.15862438044068,11.037264613248698,4151
-63.24257468627299,10.809444092963703,4088
-63.1605536922732,10.807313856378599,4200
-63.0785308422831,10.805238235469155,4200
-62.996506184387236,10.803217229130382,4200
-62.91447976667654,10.80125083628689,4133
-62.832451637248134,10.79933905589271,4158
-62.75042184420515,10.797481886931221,4158
-62.668390435656605,10.795679328415364,4158
-62.58635745971723,10.793931379387239,4163
-62.504322964507196,10.792238038918402,4163
-62.422286998152096,10.790599306109597,4163
-62.176170753548895,10.786010745091106,4236
-62.09412938397038,10.784590434516224,4236
-62.01208678394906,10.783224727544342,4236
-61.93004300163902,10.781913623451638,4236
-61.847998085198554,10.78065712154343,4236
-68.65413414731566,10.970087979870808,4109
-68.5722974327028,10.964351066492295,4112
-68.49045570287934,10.958668889767736,4151
-68.40860900521626,10.95304144657135,4151
-68.32675738710182,10.94746873381008,4151
-68.24490089594154,10.94195074842396,4151
-68.16303957915794,10.936487487385767,4151
-63.32639562585488,10.710925993557224,4088
-63.24433210151443,10.70874184997237,4200
-63.16226667000807,10.706612305281656,4205
-63.080199379491944,10.704537358362066,4205
-62.99813027812874,10.702517008120157,4205
-62.916059414087556,10.700551253491318,4200
-62.833986835543655,10.69864009344039,4158
-62.75191259067839,10.696783526961097,4158
-62.66983672767896,10.6949815530763,4163
-62.58775929473829,10.693234170838094,4163
-62.50568034005483,10.691541379327392,4163
-62.4235999118324,10.689903177654255,4163
-62.341518058280016,10.688319564957625,4163
-62.17735026804643,10.68531610319475,4236
-62.09526442780771,10.683896252551323,4236
-62.01317735512369,10.682530987729766,4236
-61.9310890982268,10.681220308013758,4236
-61.848999705353705,10.67996421271567,4236
-68.65881892999352,10.86938774499212,4109
-68.57693810130314,10.863652724861195,4112
-68.49505224926915,10.857972422268805,4151
-68.41316142133863,10.85234683412017,4151
-68.33126566497604,10.846775957353186,4151
-68.24936502766317,10.841259788938236,4151
-68.16745955689888,10.835798325878363,4151
-63.57451150844258,10.617188034719298,4116
-63.49240952169178,10.614840842821083,4116
-63.410305480008596,10.612548235600643,4116
-63.328199431606784,10.610310211859552,4133
-63.24609142470709,10.608126770428667,4205
-63.16398150753721,10.60599791016777,4205
-63.08186972833157,10.603923629965513,4205
