it,avg,max
1,0.09800136999984434,0.31929415077071543
2,0.14037186594170178,0.3227626942219805
3,0.20398251020082156,0.3227626942219805
4,0.25593539820251915,0.3263976493735178
5,0.2821036720314346,0.3325242729032454
6,0.2793343812292747,0.3325242729032454
7,0.288771026651789,0.3325242729032454
8,0.2839399565651905,0.3325242729032454
9,0.2837551383718214,0.3325242729032454
10,0.30595956555883125,0.3325242729032454
11,0.3112982502498374,0.3325242729032454
12,0.31268481922418395,0.3325242729032454
13,0.3076619293427953,0.3325242729032454
14,0.32284011083431685,0.3325242729032454
15,0.31166120990215895,0.3325242729032454
16,0.31408844890075505,0.3325242729032454
17,0.30579597329563796,0.3325242729032454
18,0.3050188745406063,0.3325242729032454
19,0.30552583544971523,0.3325242729032454
20,0.30624352568916025,0.3325242729032454
21,0.3150292221517333,0.3325242729032454
