it,avg,max
1,0.027050815658799174,0.14350001562886505
2,0.05052789756335335,0.17999997388296204
3,0.09314957833775693,0.1844951695304023
4,0.12446467148723993,0.18777184689252288
5,0.14556484144081072,0.2014608272562605
6,0.16517950188384256,0.2014608272562605
7,0.16922063508410343,0.2250944942622459
8,0.18241363613026368,0.2250944942622459
9,0.18736064597560229,0.2250944942622459
10,0.19674168433248862,0.2250944942622459
11,0.20173195800087296,0.2250944942622459
12,0.20742876068379074,0.25034874915825284
13,0.1992549257307486,0.25034874915825284
14,0.19978005119942702,0.25621113288501685
15,0.19230803271976307,0.25621113288501685
16,0.1876995914707706,0.2795200041835226
17,0.18407135368899688,0.2795200041835226
18,0.1604739019308544,0.2795200041835226
19,0.138012585155448,0.31614321855455546
20,0.1261492512706153,0.31614321855455546
21,0.136146803259935,0.31614321855455546
