x,y,bp
-68.63544556896825,11.373773690962249,4004
-68.55378483787962,11.36802900111444,4004
-68.47211912393787,11.362339126357716,4004
-68.64011014702986,11.272718756927778,4004
-68.55840549082647,11.266976041896644,4004
-68.47669584370671,11.261288122049255,4004
-68.64477976400737,11.171753091648394,4004
-68.56303113556211,11.166012330908087,4015
-68.48127750811989,11.160326345643423,4015
-68.39951892889977,11.154695132666081,4015
-68.31775544513812,11.149118688821204,3942
-68.23598710408841,11.143597010987378,3942
-68.56766178015792,11.065137470829324,4015
-68.48586412517308,11.059453399909719,4015
-68.4040615103881,11.053824081798997,4015
-68.3222539831153,11.048249513373579,4008
-68.24044159068401,11.042729691542663,4008
-63.24257468627299,10.809444092963703,3940
-63.1605536922732,10.807313856378599,3976
-63.0785308422831,10.805238235469155,3976
-62.996506184387236,10.803217229130382,3976
-62.25821084453476,10.78748566002197,4056
-62.176170753548895,10.786010745091106,4056
-62.09412938397038,10.784590434516224,4067
-62.01208678394906,10.783224727544342,4067
-61.93004300163902,10.781913623451638,4067
-68.5722974327028,10.964351066492295,4015
-68.49045570287934,10.958668889767736,4026
-68.40860900521626,10.95304144657135,4026
-68.32675738710182,10.94746873381008,4026
-68.24490089594154,10.94195074842396,4008
-63.40845719488002,10.71316473718828,3922
-63.32639562585488,10.710925993557224,3961
-63.24433210151443,10.70874184997237,3961
-63.16226667000807,10.706612305281656,4071
-63.080199379491944,10.704537358362066,4071
-62.99813027812874,10.702517008120157,4071
-62.916059414087556,10.700551253491318,4060
-62.833986835543655,10.69864009344039,4060
-62.75191259067839,10.696783526961097,4034
-62.66983672767896,10.6949815530763,4034
-62.58775929473829,10.693234170838094,4023
-62.50568034005483,10.691541379327392,4023
-62.4235999118324,10.689903177654255,4012
-62.341518058280016,10.688319564957625,4012
-62.25943482761172,10.68679054040547,4056
-62.17735026804643,10.68531610319475,4056
-62.09526442780771,10.683896252551323,4067
-62.01317735512369,10.682530987729766,4067
-61.9310890982268,10.681220308013758,4067
-68.57693810130314,10.863652724861195,3964
-68.49505224926915,10.857972422268805,4026
-68.41316142133863,10.85234683412017,4026
-68.33126566497604,10.846775957353186,4026
-68.24936502766317,10.841259788938236,4008
-63.738709124328835,10.622046177486885,3863
-63.656611392054614,10.619589812522433,3863
-63.57451150844258,10.617188034719298,3863
-63.410305480008596,10.612548235600643,3922
-63.328199431606784,10.610310211859552,3961
-63.24609142470709,10.608126770428667,3965
-63.16398150753721,10.60599791016777,4071
-63.08186972833157,10.603923629965513,4071
-62.99975613533117,10.601903928739516,4071
-62.91764077678338,10.599938805436278,4060
-62.83552370094188,10.59802825903098,4060
-62.753404956066326,10.596172288527992,4034
-62.67128459042232,10.594370892960114,4034
-62.58916265228114,10.592624071389112,4023
-62.50703918991965,10.590931822905466,4023
-62.424914251620095,10.589294146628326,4012
-62.342787885669935,10.587711041705568,4012
-62.260660140361615,10.586182507313673,4056
-62.17853106399254,10.58470854265789,4056
-62.09640070486474,10.583289146971934,4067
-62.014269111284804,10.581924319518215,4067
-61.932136331563704,10.580614059587784,4067
-68.58158379408306,10.7630420550138,3964
-68.49965377239039,10.757363606576742,4026
-68.41771876672688,10.751739853694824,4055
-68.3357788246334,10.746170793336468,4055
-68.2538339936681,10.740656422502674,4055
-63.740737493884815,10.521513443703,3863
-63.658595247554175,10.519057861116886,3863
-63.57645084638271,10.516656848097119,3863
-63.49430433864778,10.514310403400286,3931
-63.412155772634236,10.512018525811792,3931
-63.330005196634154,10.509781214145727,3961
-63.247852658946734,10.50759846724502,3965
-63.165698207878116,10.505470283981184,4071
-63.08354189174118,10.50339666325434,4082
-63.00138375885537,10.501377603993395,4082
-62.91922385754662,10.499413105155528,4082
-62.837062236147034,10.49750316572694,4060
-62.75489894299484,10.495647784721873,4034
-62.67273402643414,10.493846961183356,4034
-62.59056753481484,10.492100694182882,4023
