it,avg,max
1,0.11562425029433662,0.5033597188036344
2,0.1683671780341292,0.5033597188036344
3,0.19162756035991504,0.5033597188036344
4,0.22910613404508687,0.5033597188036344
5,0.301305787291106,0.5350561378934404
6,0.3891962803504165,0.5350561378934404
7,0.398166426057858,0.5350561378934404
8,0.4216278722526653,0.5350561378934404
9,0.4227023910407609,0.5350561378934404
10,0.4503465564755037,0.5350561378934404
11,0.48319086158986985,0.5350561378934404
12,0.4587319913762131,0.5350561378934404
13,0.4831737906524735,0.5350561378934404
14,0.4513035210459283,0.5350561378934404
15,0.48148288889373486,0.5350561378934404
16,0.4624170878527781,0.5350561378934404
17,0.4568576152544259,0.5399242959221813
18,0.4694957555433619,0.5399242959221813
19,0.4585305565660266,0.5399242959221813
20,0.46510950534123696,0.5399242959221813
21,0.4457485817332354,0.5399242959221813
