it,avg,max
1,0.09425700281347064,0.5285215292223878
2,0.2202070373539185,0.5767636935934088
3,0.31383081189373885,0.5767636935934088
4,0.4070914045520031,0.5767636935934088
5,0.4853922736482768,0.5767636935934088
6,0.5234462230019212,0.5767636935934088
7,0.5197721932084177,0.5767636935934088
8,0.503947477702401,0.5767636935934088
9,0.5269952693521419,0.5767636935934088
10,0.5252431429411951,0.5767636935934088
11,0.5248937521384445,0.5767636935934088
12,0.5258417346536504,0.5767636935934088
13,0.5105517892890762,0.5767636935934088
14,0.5114972214842877,0.5767636935934088
15,0.5266333467330357,0.5767636935934088
16,0.5050665140487668,0.5767636935934088
17,0.5253122149668423,0.5767636935934088
18,0.5333312239045769,0.5767636935934088
19,0.5215105970357957,0.5767636935934088
20,0.47768115834672115,0.5767636935934088
21,0.5037223130363686,0.5767636935934088
