it,avg,max
1,0.12205473685167371,0.6294922071297125
2,0.2618927426826813,0.6294922071297125
3,0.31556709531104515,0.6294922071297125
4,0.3656672374673219,0.6294922071297125
5,0.422713445711621,0.6390938340214329
6,0.4919810760509182,0.6390938340214329
7,0.5370676758782533,0.6390938340214329
8,0.5301483473667389,0.6390938340214329
9,0.5385111666886943,0.6390938340214329
10,0.5388601136876014,0.6390938340214329
11,0.5704195145745565,0.6390938340214329
12,0.5651682544147677,0.6390938340214329
13,0.5370795362990485,0.6390938340214329
14,0.5687060934828666,0.6390938340214329
15,0.5530721709392831,0.6390938340214329
16,0.6002362976887521,0.6390938340214329
17,0.5788531399443934,0.6390938340214329
18,0.5739357564328478,0.6390938340214329
19,0.5827006882829319,0.6390938340214329
20,0.567908233841603,0.6390938340214329
21,0.5710733355216674,0.6390938340214329
