it,avg,max
1,0.037412476876329176,0.31662164255655284
2,0.08447752873836724,0.31662164255655284
3,0.1464454609418201,0.3974710933271286
4,0.19642120719933157,0.3974710933271286
5,0.23109887632321627,0.3974710933271286
6,0.2740390232376941,0.3974710933271286
7,0.3301122809765718,0.3974710933271286
8,0.34320766356301086,0.3974710933271286
9,0.3594581204633949,0.3974710933271286
10,0.3674198095317406,0.3974710933271286
11,0.350049812582497,0.3974710933271286
12,0.34678292905731606,0.3974710933271286
13,0.35469158290404784,0.3974710933271286
14,0.3226864232009739,0.3974710933271286
15,0.32991060564670305,0.3974710933271286
16,0.3303115172362802,0.3974710933271286
17,0.35141583189398057,0.3974710933271286
18,0.32165893201344326,0.3974710933271286
19,0.3210909838778726,0.3974710933271286
20,0.3440696355038379,0.3974710933271286
21,0.3522133838776907,0.3974710933271286
