-63.85,-20.41
1899,1.02366819717822e-05
1898,1.05893722974115e-05
1897,1.09539832873177e-05
1896,1.1330898286619e-05
1895,1.17205118406888e-05
1894,1.24850090461926e-05
1893,1.32947921236772e-05
1892,1.41522067267959e-05
1891,1.50596967268794e-05
1890,1.60198068078639e-05
1889,1.70373657549965e-05
1888,1.81149393913359e-05
1887,1.9255712344191e-05
1886,2.04630121811596e-05
1885,2.17403139880517e-05
1884,2.28395963377667e-05
1883,2.39887948340099e-05
1882,2.51898644494647e-05
1881,2.64448206000082e-05
1880,2.77557402191565e-05
1879,2.90392992784038e-05
1878,3.03781388698684e-05
1877,3.1774390347739e-05
1876,3.32302528169312e-05
1875,3.4747994484725e-05
1874,3.65205163873505e-05
1873,3.83734690390985e-05
1872,4.03099066270377e-05
1871,4.23329660805426e-05
1870,4.44458675386165e-05
1869,4.62254014698449e-05
1868,4.80678405665716e-05
1867,4.99750397827056e-05
1866,5.19488934503388e-05
1865,5.39913355010676e-05
1864,5.49008153136732e-05
1863,5.58264401971179e-05
1862,5.67684846325289e-05
1861,5.772722705995e-05
1860,5.87029499101106e-05
1859,5.74591078654915e-05
1858,5.62396834883249e-05
1857,5.50442730307281e-05
1856,5.38724770399786e-05
1855,5.27239003834931e-05
1854,4.98516924846095e-05
1853,4.71223225415727e-05
1852,4.45296009105831e-05
1851,4.20675470803481e-05
1850,3.97303863722799e-05
1849,3.8428489012085e-05
1848,3.71647578797425e-05
1847,3.59382384798249e-05
1846,3.4747994484725e-05
1845,3.35931075804787e-05
1844,3.49831855885539e-05
1843,3.64244411620581e-05
1842,3.79184704722639e-05
1841,3.94669071719762e-05
1840,4.10714227718324e-05
1839,4.47484548811114e-05
1838,4.8714842193789e-05
1837,5.29894626296685e-05
1836,5.75920702107253e-05
1835,6.25433045664726e-05
1834,6.84428820023256e-05
1833,7.48219985017888e-05
1832,8.17115794788982e-05
1831,8.91437612244461e-05
1830,9.71518641490965e-05
1829,0.000105548263734418
1828,0.000114562010312023
1827,0.000124228069220912
1826,0.000134582447437967
1825,0.000145662139762734
1824,0.000154619772151098
1823,0.000164049714156263
1822,0.000173971007504552
1821,0.000184403043967773
1820,0.00019536554073843
1819,0.000203598774093247
1818,0.000212129046103008
1817,0.000220964345181581
1816,0.000230112731293152
1815,0.000239582328457822
1814,0.000247798467500201
1813,0.000256253040915715
1812,0.000264950390416453
1811,0.000273894805183966
1810,0.000283090514327025
1809,0.000288814892212008
1808,0.000294632292369738
1807,0.000300543681905581
1806,0.000306550025396674
1805,0.000312652284540602
1804,0.000314192948543244
1803,0.000315739682137697
1802,0.000317292500251679
1801,0.000318851417798135
1800,0.000320416449674871
1799,0.00031999043107482
1798,0.000319570467719678
1797,0.000319156563292167
1796,0.000318748721390271
1795,0.000318346945528465
1794,0.000316786957183529
1793,0.000315233088319565
1792,0.000313685323916256
1791,0.000312143648938619
1790,0.000310608048337383
1789,0.000312143648938619
1788,0.000313685323916256
1787,0.000315233088319565
1786,0.000316786957183529
1785,0.000318346945528465
1784,0.000329439467870222
1783,0.000340837701210378
1782,0.00035254672653539
1781,0.000364571575236805
1780,0.000376917222556668
1779,0.000378707361377028
1778,0.000380504161687384
1777,0.000382307637668903
1776,0.000384117803472899
1775,0.000385934673220407
1774,0.000363262043418605
1773,0.000341674767509939
1772,0.000321139573756601
1771,0.000301622797419804
1770,0.000283090514327025
1769,0.000263773732295387
1768,0.000245542881771895
1767,0.000228356159118374
1766,0.000212171813223791
1765,0.000196948293957199
1764,0.000189365157218177
1763,0.000182025774100336
1762,0.000174924619578091
1761,0.000168056187789797
1760,0.000161414997411531
1759,0.000164483516589539
1758,0.000167622202382274
1757,0.000170832520271601
1756,0.00017411595589598
1755,0.000177474014758432
1754,0.000192308565870919
1753,0.000208173823075046
1752,0.000225118095909354
1751,0.000243189565417408
1750,0.000262436010553646
1749,0.000284512940934057
