it,avg,max
1,0.0016825583059720767,0.06999722562941527
2,0.00741120625059692,0.0724951173492486
3,0.018199433983808057,0.0724951173492486
4,0.029413155108658197,0.07408280382967496
5,0.0322797196638705,0.07408280382967496
6,0.034062547055308014,0.07408280382967496
7,0.03273991779233947,0.07542601260805867
8,0.02971319111764597,0.07542601260805867
9,0.030575852410331124,0.0759668853999729
10,0.03372610092815702,0.0759668853999729
11,0.036093794467130784,0.0759668853999729
12,0.03260489236141317,0.08754434781999097
13,0.04667858596027998,0.08754434781999097
14,0.06791650774548905,0.08754434781999097
15,0.06637350694361607,0.08754434781999097
16,0.06344842945952453,0.08754434781999097
17,0.06591849599605318,0.08754434781999097
18,0.06427397463512623,0.08754434781999097
19,0.05881758769099643,0.08754434781999097
20,0.04748022529054341,0.0940552176943932
21,0.047933180312331625,0.0940552176943932
