it,avg,max
1,0.05546739172479221,0.2596683807825549
2,0.1225758585257024,0.2645311400177796
3,0.18886880025037805,0.26577866756213403
4,0.23175587330122843,0.31913356703742785
5,0.25121604949296783,0.31913356703742785
6,0.26767718660869494,0.31913356703742785
7,0.27852811294651425,0.31913356703742785
8,0.2848147029813466,0.31913356703742785
9,0.28910611445944334,0.31913356703742785
10,0.2855030027168565,0.31913356703742785
11,0.2723883346090973,0.31913356703742785
12,0.28539474742760484,0.31913356703742785
13,0.2843192319055345,0.31913356703742785
14,0.28568335230177977,0.31913356703742785
15,0.2837499087893242,0.31913356703742785
16,0.28721598178785274,0.31913356703742785
17,0.28614466320614457,0.31913356703742785
18,0.2668604337624847,0.31913356703742785
19,0.28160951055545824,0.31913356703742785
20,0.2911746333732178,0.31913356703742785
21,0.28262612955126404,0.31913356703742785
