it,avg,max
1,0.0313795231363924,0.3198414089777691
2,0.0598258667889826,0.3256298823811356
3,0.12219089543539792,0.33083505889112824
4,0.15255724445458868,0.33083505889112824
5,0.21614327622251775,0.33083505889112824
6,0.2814411135815161,0.33083505889112824
7,0.2827943407876133,0.33083505889112824
8,0.2784654047153588,0.33083505889112824
9,0.2836026924939094,0.33083505889112824
10,0.29477111164400305,0.33083505889112824
11,0.2761175712975814,0.33083505889112824
12,0.27888978301170453,0.33083505889112824
13,0.29642555619510264,0.33083505889112824
14,0.2915614110627676,0.33083505889112824
15,0.2897941804929055,0.33083505889112824
16,0.28020308710073205,0.33083505889112824
17,0.2882870691361009,0.34886151736478005
18,0.2995223361459053,0.34886151736478005
19,0.28912048165873416,0.34886151736478005
20,0.2909920659449607,0.34886151736478005
21,0.31125229735371035,0.34886151736478005
