it,avg,max
1,0.11034751508474328,0.267110540341597
2,0.16445471156233923,0.3461001146775383
3,0.17691854008815425,0.3461001146775383
4,0.19923805722929228,0.3461001146775383
5,0.24478480025367777,0.3461001146775383
6,0.2812398472863788,0.3461001146775383
7,0.3059189059406986,0.3461001146775383
8,0.31442811263657894,0.3461001146775383
9,0.3160380155311244,0.3461001146775383
10,0.3021708183091361,0.3461001146775383
11,0.2998780949434587,0.3461001146775383
12,0.31073762666620147,0.3461001146775383
13,0.31069049109863056,0.3461001146775383
14,0.3186632196746118,0.3461001146775383
15,0.303060875329754,0.3461001146775383
16,0.32174852727631387,0.3461001146775383
17,0.31893300392012897,0.3461001146775383
18,0.2984826188072042,0.3461001146775383
19,0.3076454412269792,0.3461001146775383
20,0.3001750934573836,0.3461001146775383
21,0.31455014684595184,0.3461001146775383
