it,avg,max
1,0.051954977355167936,0.4120957476305465
2,0.16305587691998097,0.41396468954406096
3,0.30030557041957046,0.4228093448621794
4,0.34858059340133585,0.4499271195989068
5,0.3933064069042094,0.4499271195989068
6,0.39096271039267194,0.4499271195989068
7,0.398703252896901,0.4499271195989068
8,0.41505751431596904,0.4604326517225025
9,0.41011718650240353,0.4604326517225025
10,0.41803889027286595,0.4604326517225025
11,0.4389712138995298,0.4604326517225025
12,0.4226158995397571,0.4604326517225025
13,0.4396961481522943,0.4604326517225025
14,0.4339801082406501,0.4604326517225025
15,0.43143642374951935,0.4604326517225025
16,0.4192545231914093,0.4604326517225025
17,0.4324851400393516,0.4604326517225025
18,0.43603695697456296,0.4604326517225025
19,0.4236978609420067,0.4604326517225025
20,0.43276564599563205,0.4604326517225025
21,0.41552932805750825,0.4604326517225025
