"","x1","x2"
"1",-57.004,-27.689
"2",1993,1.10764135465077e-05
"3",1992,1.31671230258205e-05
"4",1991,1.56147964932456e-05
"5",1990,1.84722679708584e-05
"6",1989,2.04725570431056e-05
"7",1988,2.26671930686902e-05
"8",1987,2.50723894588723e-05
"9",1986,2.77054153437181e-05
"10",1985,3.05846335746338e-05
"11",1984,3.12875285796305e-05
"12",1983,3.20075562645562e-05
"13",1982,3.27450803064424e-05
"14",1981,3.35004696365689e-05
"15",1980,3.4274098416027e-05
"16",1979,3.3019980781405e-05
"17",1978,3.18075499733189e-05
"18",1977,3.06355897775139e-05
"19",1976,2.95029129710407e-05
"20",1975,2.84083608697959e-05
"21",1974,2.63291360138398e-05
"22",1973,2.43891992204425e-05
"23",1972,2.25802619406663e-05
"24",1971,2.08944484370513e-05
"25",1970,1.93242811866351e-05
"26",1969,1.8099020315498e-05
"27",1968,1.69452278422951e-05
"28",1967,1.58591674137487e-05
"29",1966,1.48372693428439e-05
"30",1965,1.38761249968105e-05
"31",1964,1.33410372686569e-05
"32",1963,1.28257455941662e-05
"33",1962,1.23295903053233e-05
"34",1961,1.18519294796058e-05
"35",1960,1.13921386804321e-05
"36",1959,1.07996565880866e-05
"37",1958,1.02361461414004e-05
"38",1934,1.11670689880707e-05
"39",1933,1.42491981351772e-05
"40",1932,1.808927376328e-05
"41",1931,2.2847327454514e-05
"42",1930,2.87102979587834e-05
"43",1929,3.51043172526927e-05
"44",1928,4.27596179444023e-05
"45",1927,5.18868798413883e-05
"46",1926,6.27237116150671e-05
"47",1925,7.55364199015106e-05
"48",1924,8.27751814785651e-05
"49",1923,9.06215527728287e-05
"50",1922,9.91175299688143e-05
"51",1921,0.000108307131987621
"52",1920,0.000118236415273481
"53",1919,0.000123951257225363
"54",1918,0.000129932272091531
"55",1917,0.000136190728563515
"56",1916,0.000142738278716358
"57",1915,0.000149586963952555
"58",1914,0.000153777794279585
"59",1913,0.000158074407869918
"60",1912,0.00016247877651171
"61",1911,0.000166992879174793
"62",1910,0.000171618700799816
"63",1909,0.000176358231047344
"64",1908,0.000181213463007555
"65",1907,0.000186186391871186
"66",1906,0.000191279013562479
"67",1905,0.000196493323335007
"68",1904,0.000202542090414798
"69",1903,0.00020874948043871
"70",1902,0.000215118689648365
"71",1901,0.00022165294691659
"72",1900,0.000228355513010979
"73",1899,0.00023844400054722
"74",1898,0.000248953369817701
"75",1897,0.00025989889105373
"76",1896,0.000271296217910247
"77",1895,0.000283161384936854
"78",1894,0.000307363706581595
"79",1893,0.00033322901799081
"80",1892,0.000360831889151919
"81",1891,0.000390246639013967
"82",1890,0.000421546969369089
"83",1889,0.000454504468551528
"84",1888,0.000489644602646976
"85",1887,0.000527071228726096
"86",1886,0.000566889074406484
"87",1885,0.000609203285859665
"88",1884,0.000645785908894663
"89",1883,0.000684067816231936
"90",1882,0.000724092449598966
"91",1881,0.000765901898646377
"92",1880,0.000809536695983564
"93",1879,0.000852336965003765
"94",1878,0.000896974304436753
"95",1877,0.000943494477285813
"96",1876,0.000991941827255491
"97",1875,0.00104235903787001
"98",1874,0.00110028012089963
"99",1873,0.00116036530380505
"100",1872,0.00122262137427788
"101",1871,0.00128704972742
"102",1870,0.00135364611847071
"103",1869,0.00140985134935816
"104",1868,0.0014676062039968
"105",1867,0.00152691121957092
"106",1866,0.00158776442178074
"107",1865,0.00165016122767436
"108",1864,0.00167897366082146
"109",1863,0.00170822164460257
"110",1862,0.0017379074755669
"111",1861,0.00176803327066276
"112",1860,0.001798600959092
"113",1859,0.00176246683640894
"114",1858,0.00172672883606294
"115",1857,0.00169139385574173
"116",1856,0.00165646840253372
"117",1855,0.00162195859274984
"118",1854,0.00153146276207563
"119",1853,0.00144459582209781
"120",1852,0.00136133222741009
"121",1851,0.00128163517991522
"122",1850,0.00120545760359737
